Feature_idx,RF,XGBoost,LightGBM,Mean_importance
21,0.10672422050206183,3.7943149,5.439013402707941,3.113350828169203
23,0.036446378928353534,1.0894129,2.1730813221799887,1.099646876245302
10,0.05142135740130406,1.244204,1.3096362675809372,0.8684205564414275
3,0.050744618780749144,1.4549857,0.9738438752647546,0.8265247439487006
5,0.05444991047734366,0.7811813,0.6869225031277715,0.5075178964832298
2,0.01718580204597538,0.8958951,0.5230686889052367,0.47871653814432086
6,0.037833144769004005,0.52305084,0.6681952588003424,0.40969308274622945
16,0.009461716949138102,0.60988605,0.28905614526569057,0.3028013041463776
25,0.012364622987933234,0.4096307,0.4155331440253797,0.2791761510193353
8,0.030835814888588962,0.44877198,0.273831528554625,0.2511464422761
4,0.02029104898168942,0.3050698,0.28340674143500433,0.20292253153609438
12,0.009162336850645908,0.17629305,0.36011282552646834,0.18185606921982603
9,0.016705744831629503,0.35700792,0.12146190038025109,0.16505852198463852
14,0.0013223174142940786,0.40177307,0.08964819694128048,0.1642478598947242
11,0.01692943494255969,0.1342136,0.3333196279114495,0.16148755314547394
