Feature_idx,RF,XGBoost,LightGBM,Mean_importance
170,0.030114520017757204,0.59159446,0.7793144302098176,0.46700780261797253
184,0.006912190093412648,0.65683144,0.38947203781725565,0.35107189040681736
167,0.02967598280942553,0.5029686,0.41586805631336154,0.31617088281860845
165,0.020375721322269297,0.44962108,0.3968867641918599,0.28896118895545436
194,0.008933927694678663,0.34379944,0.3174904930137762,0.22340795425376533
172,0.012527407088319318,0.33194897,0.29082817044307957,0.21176818110642884
183,0.0074615620337719945,0.30734625,0.24206848138548764,0.18562543266881104
186,0.0029543142184083556,0.30114797,0.23601248792409227,0.18003825657316042
4,0.007940761812034127,0.23636527,0.19348650969091322,0.14593084836593453
146,0.004516797465671843,0.22107476,0.1776357688913412,0.13440910877239587
152,0.006410787089496544,0.19550751,0.16470925148229282,0.12220918335611108
176,0.00897198316636088,0.14930217,0.197004679560526,0.11842627746916075
178,0.012356242141242032,0.18041486,0.1623419470788279,0.11837101490008801
150,0.001858855270530994,0.1973272,0.13665104860829913,0.11194570015896103
124,0.010294574701298466,0.1854193,0.12674516260393032,0.10748634782141608
